Title,Subtitle,Ingredients,Cooking tools,Instructions
Almond Loaf Bread,Prep+Cook Time: 1hr 15 mins Yield: 1 large loaf,Dry Ingredients: 3 Cups Almond Flour 1/2 cup coconut flour 6 tbsp ground flax 1/2 cup + 1 tbsp whole psyllium husks 1.5 tbsp baking powder 2 tsp salt OR TO YOUR TASTE Wet Ingredients: 3 tbsp applesauce 2 cups warm water 1.5 tbsp apple cider vinegar ,Mixing Bowls Loaf Pan Whisk ,"Preheat the oven to 375. PREPARING THE WET AND DRY INGREDIENTS Combine all dry ingredients in a bowl and whisk to combine. In a separate bowl combine the wet ingredients. MIXING IT UP Add the wet ingredients to the dry ingredients and mix to combine. Let sit for a couple of minutes to allow the psyllium husks to absorb the liquid. Gather the dough mixture and press and knead into a ball of dough. You can smooth any cracks by wetting your hands with water and rubbing over the cracks. GETTING IT IN THE PAN Form a loaf shape to fit in a loaf pan. Bake for 50-60 minutes. If the top browns before the loaf is cooked, cover with a piece of parchment. You can prick with a skewer to test if it’s done. If the skewer comes out clean, your loaf is done. Allow to cool on a rack until completely cool before cutting it. NOTES: If the dough is too dry add small amounts of water until it sticks together and moistens all the dry ingredients. If the bread is too wet, add 1 teaspoon of psyllium husks at a time. Enjoy! "
Oat Flatbread (NF),Prep + Cook Time: 30 mins Servings: 2,1.5 cups rolled oats (certified glyphosate free and organic.) 1.5 - 2 cups water 1/4-1/2 tsp salt (optional but suggested) ,High-Speed Blender Well-seasoned Cast Iron Pan ,MAKING THE BATTER Combine ingredients in a blender pitcher or cup. Allow to soak for 15-30 minutes. Blend until smooth. The batter should be pourable but not watery. It will thicken a bit as it sits. Start with less water and adjust consistency as needed by adding more. COOKING YOUR FLATBREAD Heat a well-seasoned cast iron pan over medium-high heat. Pour batter in the center of the pan. Rotate the pan to create an even circle. Allow to cook until the top lightly  bubbles and looks dry (1-2 minutes) Flip and cook for an additional minute on the other side. This bread is soft and chewy compared to typical wheat bread. Enjoy! 
Red Lentil Flatbread (NF),Prep+Cooking time: 20 mins  Servings: 2,1 cup red lentils 2 cups water ¼ tsp salt or to taste ,High-Speed Blender Well-seasoned Cast Iron Pan ,"PREPARE THE BATTER In a bowl, add washed and drained red lentils, water, and salt. Allow to soak for 2+ hours. Add the contents of the bowl to a high-speed blender and blend until smooth. COOKING YOUR FLATBREAD Heat well-seasoned cast iron pan on medium-low. Pour batter into the center of the pan. When bubbles appear and the top is dry, flip to cook the other side. Cook for an additional minute or so and remove from the pan. Enjoy! "
Soft Almond Flatbread,Prep+Cooking time: 20 mins  Servings: 2 ,"1 cup almond flour 2 1/2 - 3 tablespoons whole psyllium husks 1/2 cup water (room temperature- lukewarm) Optional: 1/4 tsp salt (more or less TO YOUR TASTE) Optional: 1/4 tsp garlic powder, Italian seasoning, oregano, or another seasoning of choice. ",Mixing Bowl Well-seasoned Cast Iron Pan ,"MAKING THE DOUGH In a bowl combine almond flour, psyllium husks, salt, and water (and seasonings if using). Mix until combined. Let sit for 5 minutes. Bring the dough together into a ball. Break into 2-4 equal portions. Roll between two layers of parchment paper. COOKING YOUR FLATBREAD Heat a stick-free pan on medium heat. Carefully add rolled flatbread to the pan (as seen in the video) Allow to cook for 1-2 minutes or until edges are slightly dry. Flip and cook for 1-2 minutes. Let cool on a rack. Enjoy! "
Flax Flatbread (NF),Prep+Cooking time: 20 mins  Yields: 4 flatbreads,1 cup ground golden flaxseeds 2/3 cup hot water 1/4 tsp salt OR TO YOUR TASTE ,Saucepan Parchment Paper Rolling Pin Well-seasoned Cast Iron Pan ,"PREPARING THE DOUGH Add water into a pot and bring it to a boil. Add the salt and flaxseed meal. Turn the heat off and quickly mix with a spoon until the flaxseed meal absorbs all the water. Continue to stir and the flaxseed meal will form a sticky dough in about 1-2 minutes. Remove the dough from the pot and place it in a glass or ceramic bowl to cool. When cool enough to handle, divide the dough into 4 equal pieces. Roll out each dough ball between two pieces of parchment paper. COOKING THE FLATBREAD Preheat a well-seasoned cast iron pan over medium heat. Transfer flax bread to the pan and cook it for 1-1//2 minutes. Flip and cook for another 30-60 seconds. "
Almond Flour Bread Crumbs,Prep+Cooking time: 30 mins  Yields: 1 ½ cups,1 cup almond flour 2 tsp flax meal ½ pepper ½ tsp garlic ½ paprika 1 tsp salt or TO YOUR TASTE 2 tbsp water ,Mixing bowls Frying Pan Food processor ,COMBINING THE INGREDIENTS Whisk together dry ingredients in a bowl. Add water and mix to form a dough that resembles playdoh in texture. COOKING THE MIXTURE  Transfer the dough ball to a skillet on medium-low heat. Use a spatula to break up the dough and prevent sticking. The dough will begin to dry out and won’t stick once the natural oils are released. Continue to stir and toast the mixture. Once the drying out and toasting process is complete (20-30 minutes) Take the pan off of the heat and allow to cool.  FINISHING YOUR CRUMBS Pulse in the processor to achieve the desired crumb. Do not over-process. Enjoy! NOTE: Finer crumbs are better for breading. SAUCES & SALAD DRESSINGS 
Simple Gravy (NF),Prep+Cooking time: 15 mins  Yields: 2 cups,2 cups vegetable broth 3 tbsp tamari or coconut  aminos 1 tsp garlic granules 1 tsp onion granules 2 tsp rosemary 2 tsp thyme 1 tsp sage 1 ½ tbsp arrowroot powder 2 tbsp nutritional yeast ,Saucepan Whisk ,Add ½ cup of broth to your pan and bring to a gentle simmer. Add spices and nutritional yeast. Whisk and allow to cook for 1 minute. Add the rest of the broth and tamari/liquid aminos and simmer for 3-5 minutes. Mix arrowroot in a couple of tbsp of water into a smooth paste/ liquid. Pour the arrowroot mixture into the broth. Whisk well and allow to thicken. If you prefer thicker gravy you can add more arrowroot and water mixture. Enjoy! 
Mint Yogurt Sauce,Prep+Cooking time: 10 mins  Servings: 3,1 cup soaked cashews ½ cup water 2 tbsp lemon juice 1 clove garlic 2 tbsp chopped fresh mint 2 tsp salt ,High-speed blender Knife Mixing bowl ,"In a high-speed blender combine cashews, water, lemon juice, garlic and salt. Blend until smooth. Stir in chopped fresh mint. Enjoy! "
Creamy Dill Ranch (NF option),Prep+Cooking time: 10 mins  Servings: 4,½ cup hemp seeds 1 cup raw cashews (soaked min. 2 hours) ¾ cup water 2 tbsp apple cider vinegar 1 tsp salt or TO YOUR TASTE 1 tsp garlic granules 1 tsp onion granules ¼ cup fresh dill * 1 soft medjool date Note: You can use 2-3 tsp of dried dill to replace the fresh dill Nut- Free Option: Sub cashews with an extra ¼  cup hemp seeds (or sunflower seeds) and 1 cup cannellini beans ,High-Speed Blender ,Combine all ingredients in a high-speed blender. Blend until smooth. Enjoy! 
Tzatziki Sauce,Prep+Cooking time: 20 mins  Servings: 4,1 cup raw cashews (soaked for min. 2 hours) ½- ¾ cups water. 1 ½ tbsp lemon juice ½ tbsp apple cider vinegar 2 tbsp fresh dill 2 cloves garlic ½ tsp salt  Black pepper to taste Half an English cucumber ,High-Speed Blender Grater Strainer or cheesecloth ,Peel and grate your cucumber. Squeeze/ press the grated cucumber to remove excess liquid. Chop the fresh dill and set aside. In a blender combine all other ingredients and blend until smooth. Transfer to a bowl and add grated cucumber and fresh dill.  Mix and enjoy! 
